kinesis_token	ui_representation	usage_name	token_category
kh86	=	Keypad Equal Sign 	Keyboard Tokens
int1	Intnl1	keyboard International1  	Keyboard Tokens
int2	Intnl2	keyboard International2  	Keyboard Tokens
int3	Intnl3	keyboard International3  	Keyboard Tokens
int4	Intnl4	keyboard International4  	Keyboard Tokens
int5	Intnl5	keyboard International5  	Keyboard Tokens
int6	Intnl6	keyboard International6  	Keyboard Tokens
int7	Intnl7	keyboard International7  	Keyboard Tokens
int8	Intnl8	keyboard International8  	Keyboard Tokens
int9	Intnl9	keyboard International9  	Keyboard Tokens
lng1	Lang1	keyboard LANG1  	Keyboard Tokens
lng2	Lang2	keyboard LANG2  	Keyboard Tokens
lng3	Lang3	keyboard LANG3  	Keyboard Tokens
lng4	Lang4	keyboard LANG4  	Keyboard Tokens
lng5	Lang5	keyboard LANG5  	Keyboard Tokens
lng6	Lang6	keyboard LANG6  	Keyboard Tokens
lng7	Lang7	keyboard LANG7  	Keyboard Tokens
lng8	Lang8	keyboard LANG8  	Keyboard Tokens
lng9	Lang9	keyboard LANG9  	Keyboard Tokens
kh99	AltErase	keyboard Alternate Erase 	Keyboard Tokens
kh9A	SysReq	keyboard SysReq/Attention  	Keyboard Tokens
kh9B	Cancel	keyboard Cancel  	Keyboard Tokens
kh9C	Clear	keyboard Clear  	Keyboard Tokens
kh9D	Prior	keyboard Prior  	Keyboard Tokens
kh9E	Return	keyboard Return  	Keyboard Tokens
kh9F	Separator	keyboard Separator  	Keyboard Tokens
khA0	Out	keyboard Out  	Keyboard Tokens
khA1	Oper	keyboard Oper  	Keyboard Tokens
khA2	ClearAg	keyboard Clear/Again  	Keyboard Tokens
khA3	CrSel	keyboard CrSel/Props  	Keyboard Tokens
khA4	ExSel	keyboard ExSel  	Keyboard Tokens
khB0	00	keypad 00  	Keyboard Tokens
khB1	000	keypad 000  	Keyboard Tokens
khB2	ThousandsSep	Thousands Separator  	Keyboard Tokens
khB3	DecSep	Decimal Separator  	Keyboard Tokens
khB4	CurrUnit	Currency Unit  	Keyboard Tokens
khB5	CurrSUnit	Currency Sub-unit  	Keyboard Tokens
khB6	(	keypad (  	Keyboard Tokens
khB7	)	keypad )   	Keyboard Tokens
khB8	{	keypad {  	Keyboard Tokens
khB9	}	keypad }  	Keyboard Tokens
khBA	Tab	keypad Tab  	Keyboard Tokens
khBB	Backspace	keypad Backspace  	Keyboard Tokens
khBC	A	keypad A  	Keyboard Tokens
khBD	B	keypad B  	Keyboard Tokens
khBE	C	keypad C  	Keyboard Tokens
khBF	D	keypad D  	Keyboard Tokens
khC0	E	keypad E  	Keyboard Tokens
khC1	F	keypad F  	Keyboard Tokens
khC2	XOR	keypad XOR  	Keyboard Tokens
khC3	^	keypad ^  	Keyboard Tokens
khC4	%	keypad %  	Keyboard Tokens
khC5	<	keypad <  	Keyboard Tokens
khC6	>	keypad >  	Keyboard Tokens
khC7	&	keypad &  	Keyboard Tokens
khC8	&&	keypad &&  	Keyboard Tokens
khC9	|	keypad |  	Keyboard Tokens
khCA	||	keypad ||  	Keyboard Tokens
khCB	:	keypad:   	Keyboard Tokens
khCC	#	keypad #  	Keyboard Tokens
khCD	Space	keypad Space  	Keyboard Tokens
khCE	@	keypad @  	Keyboard Tokens
khCF	!	keypad !  	Keyboard Tokens
khD0	MemStore	keypad Memory Store 	Keyboard Tokens
khD1	MemRecall	keypad Memory Recall 	Keyboard Tokens
khD2	MemClr	keypad Memory Clear 	Keyboard Tokens
khD3	MemAdd	keypad Memory Add 	Keyboard Tokens
khD4	MemSub	keypad Memory Subtract 	Keyboard Tokens
khD5	MemMult	keypad Memory Multiply 	Keyboard Tokens
khD6	MemDiv	keypad Memory Divide 	Keyboard Tokens
