token_category,kinesis_token,usage_name,ui_representation
Keyboard Tokens,kh84,keyboard Locking,Lock
Keyboard Tokens,kh85,Keypad Comma,","
Keyboard Tokens,kh86,Keypad Equal Sign],"="
Keyboard Tokens,int1,keyboard International1,Intnl1
Keyboard Tokens,int2,keyboard International2,Intnl2
Keyboard Tokens,int3,keyboard International3,Intnl3
Keyboard Tokens,int4,keyboard International4,Intnl4
Keyboard Tokens,int5,keyboard International5,Intnl5
Keyboard Tokens,int6,keyboard International6,Intnl6
Keyboard Tokens,int7,keyboard International7,Intnl7
Keyboard Tokens,int8,keyboard International8,Intnl8
Keyboard Tokens,int9,keyboard International9,Intnl9
Keyboard Tokens,lng1,keyboard LANG1,Lang1
Keyboard Tokens,lng2,keyboard LANG2,Lang2
Keyboard Tokens,lng3,keyboard LANG3,Lang3
Keyboard Tokens,lng4,keyboard LANG4,Lang4
Keyboard Tokens,lng5,keyboard LANG5,Lang5
Keyboard Tokens,lng6,keyboard LANG6,Lang6
Keyboard Tokens,lng7,keyboard LANG7,Lang7
Keyboard Tokens,lng8,keyboard LANG8,Lang8
Keyboard Tokens,lng9,keyboard LANG9,Lang9
Keyboard Tokens,kh99,keyboard Alternate Erase],AltErase
Keyboard Tokens,kh9A,keyboard SysReq/Attention,SysReq
Keyboard Tokens,kh9B,keyboard Cancel,Cancel
Keyboard Tokens,kh9C,keyboard Clear,Clear
Keyboard Tokens,kh9D,keyboard Prior,Prior
Keyboard Tokens,kh9E,keyboard Return,Return
Keyboard Tokens,kh9F,keyboard Separator,Separator
Keyboard Tokens,khA0,keyboard Out,Out
Keyboard Tokens,khA1,keyboard Oper,Oper
Keyboard Tokens,khA2,keyboard Clear/Again,ClearAg
Keyboard Tokens,khA3,keyboard CrSel/Props,CrSel
Keyboard Tokens,khA4,keyboard ExSel,ExSel
Keyboard Tokens,khB0,keypad 00,"00"
Keyboard Tokens,khB1,keypad 000,"000"
Keyboard Tokens,khB2,Thousands Separator,ThousandsSep
Keyboard Tokens,khB3,Decimal Separator,DecSep
Keyboard Tokens,khB4,Currency Unit,CurrUnit
Keyboard Tokens,khB5,Currency Sub-unit,CurrSUnit
Keyboard Tokens,khB6,keypad (,"("
Keyboard Tokens,khB7,keypad)],")"
Keyboard Tokens,khB8,keypad {,"{"
Keyboard Tokens,khB9,keypad },"}"
Keyboard Tokens,khBA,keypad Tab,Tab
Keyboard Tokens,khBB,keypad Backspace,Backspace
Keyboard Tokens,khBC,keypad A,A
